date,week,n_weeks,firm,sample,type_rv,type_lv,type_a,dem,n_dem,var_poll
2018-08-25,39,49,Ipsos,2230,TRUE,FALSE,FALSE,0.5796019900497512,1293,0.00368073552759111
2018-08-24,39,49,HarrsIntrctv,791,TRUE,FALSE,FALSE,0.569620253164557,450,0.005156871007990216
2018-08-24,39,49,McLghln&Assc,880,FALSE,TRUE,FALSE,0.5,440,0.004545454545454545
2018-08-26,39,49,Ipsos,1672,TRUE,FALSE,FALSE,0.5707196029776676,954,0.004882360863432543
2018-08-25,39,49,SfflkUnvrsty,880,TRUE,FALSE,FALSE,0.5625,495,0.004617604617604618
2018-08-27,39,49,IBD/TIPP,739,TRUE,FALSE,FALSE,0.5617977528089888,415,0.005496686443912425
2018-08-27,39,49,Ipsos,1384,TRUE,FALSE,FALSE,0.5602484472049689,775,0.005865511118661156
2018-08-27,39,49,YouGov,1047,TRUE,FALSE,FALSE,0.5357142857142857,561,0.003840031347194671
2018-08-28,40,49,Ipsos,1551,TRUE,FALSE,FALSE,0.5526315789473684,857,0.0052157549028637885
2018-08-28,40,49,ABCNws/WshnP,791,TRUE,FALSE,FALSE,0.5777777777777777,457,0.0051822886010124015
2018-08-28,40,49,RsmRprts/POR,2200,FALSE,TRUE,FALSE,0.5227272727272727,1150,0.0018219461697722573
2018-08-29,40,49,Ipsos,1555,TRUE,FALSE,FALSE,0.5522012578616352,859,0.005201389078058158
2018-08-28,40,49,HarrsIntrctv,3000,TRUE,FALSE,FALSE,0.5454545454545454,2100,0.0026888888888888887
2018-08-30,40,49,EmersonCollg,910,TRUE,FALSE,FALSE,0.5714285714285714,520,0.004487179487179486
2018-08-30,40,49,MorningCnslt,1610,TRUE,FALSE,FALSE,0.5121951219512195,825,0.0024859509020999705
2018-08-30,40,49,Ipsos,1570,TRUE,FALSE,FALSE,0.5561160151324085,873,0.005160543758132475
2018-08-31,40,49,Ipsos,1603,TRUE,FALSE,FALSE,0.5590452261306533,896,0.005061223097629553
2018-08-31,40,49,Selzer&Cmpny,686,FALSE,TRUE,FALSE,0.5113636363636364,351,0.005833917177059085
2018-09-01,40,49,Ipsos,353,FALSE,TRUE,FALSE,0.5888888888888889,208,0.02340252487240568
2018-09-02,40,49,Ipsos,504,FALSE,TRUE,FALSE,0.5736607142857143,289,0.016225160316263868
2018-09-03,40,49,YouGov,1062,TRUE,FALSE,FALSE,0.5294117647058824,562,0.003779556392550743
2018-09-03,40,49,Ipsos,647,FALSE,TRUE,FALSE,0.5638418079096045,365,0.012569685342126777
2018-09-04,41,49,Ipsos,798,FALSE,TRUE,FALSE,0.5682326621923937,454,0.010215299989601108
2018-09-04,41,49,RsmRprts/POR,2200,FALSE,TRUE,FALSE,0.5227272727272727,1150,0.0018219461697722573
2018-09-05,41,49,Ipsos,987,FALSE,TRUE,FALSE,0.5611111111111111,554,0.008228286181317145
2018-09-06,41,49,HarrsIntrctv,1729,FALSE,TRUE,FALSE,0.5542857142857143,959,0.004682143961746616
2018-09-06,41,49,Ipsos,1150,FALSE,TRUE,FALSE,0.566815144766147,652,0.007083003313773341
2018-09-07,41,49,MaristColleg,684,TRUE,FALSE,FALSE,0.5681818181818182,388,0.005958756540473992
2018-09-07,41,49,Ipsos,1113,FALSE,TRUE,FALSE,0.5509518477043672,613,0.0072632045260299745
2018-09-08,41,49,MorningCnslt,1590,TRUE,FALSE,FALSE,0.5625,895,0.002555655385844065
2018-09-08,41,49,QnnpcUnvrsty,934,TRUE,FALSE,FALSE,0.5777777777777777,540,0.0043888546931486186
2018-09-07,41,49,USCDrnsf/LAT,2412,FALSE,TRUE,FALSE,0.5729166666666666,1382,0.0016944104312142173
2018-09-08,41,49,CNN/SSRS,728,FALSE,TRUE,FALSE,0.5531914893617021,403,0.005557400474982892
2018-09-08,41,49,Ipsos,1100,FALSE,TRUE,FALSE,0.5456570155902004,600,0.007333879006147911
2018-09-08,41,49,HarrsIntrctv,770,TRUE,FALSE,FALSE,0.5324675324675324,410,0.00521680216802168
2018-09-09,41,49,Ipsos,1135,FALSE,TRUE,FALSE,0.5482796892341842,622,0.007114794455392647
2018-09-10,41,49,YouGov,1034,TRUE,FALSE,FALSE,0.5176470588235295,535,0.0038732968215913913
2018-09-10,41,49,Ipsos,1159,FALSE,TRUE,FALSE,0.5447513812154696,632,0.006958242862653695
2018-09-11,42,49,RsmRprts/POR,2225,FALSE,TRUE,FALSE,0.5280898876404494,1175,0.0018034447821681865
2018-09-11,42,49,Ipsos,1146,FALSE,TRUE,FALSE,0.5466666666666667,626,0.007042147723602273
2018-09-12,42,49,Ipsos,1119,FALSE,TRUE,FALSE,0.5543113101903696,620,0.007234600530840446
2018-09-11,42,49,HarrsIntrctv,2855,FALSE,TRUE,FALSE,0.5393258426966292,1540,0.0028195435194281887
2018-09-13,42,49,Ipsos,1127,FALSE,TRUE,FALSE,0.5357941834451901,604,0.007135057988370745
2018-09-14,42,49,Ipsos,1161,FALSE,TRUE,FALSE,0.5396648044692737,626,0.006934250073179591
2018-09-15,42,49,Ipsos,587,FALSE,TRUE,FALSE,0.5420875420875421,318,0.013725874024893265
2018-09-15,42,49,MorningCnslt,1267,TRUE,FALSE,FALSE,0.5308641975308642,673,0.0031691396034735433
2018-09-16,42,49,Ipsos,1119,FALSE,TRUE,FALSE,0.536117381489842,600,0.007186739802416289
2018-09-16,42,49,GrnbrgQnlnRs,651,FALSE,TRUE,FALSE,0.5483870967741935,357,0.006202480992396959
2018-09-17,42,49,Ipsos,1088,FALSE,TRUE,FALSE,0.5337078651685393,580,0.007386511992241411
2018-09-17,42,49,YouGov,1023,TRUE,FALSE,FALSE,0.5232558139534884,535,0.003918545539316586
2018-09-18,43,49,NBCNws/WllSJ,558,FALSE,TRUE,FALSE,0.5425531914893617,303,0.0072207594382255715
